,accession,gene_symbol,pred_prob,raw_prob,soft_label,hard_label,mRNA
9221,Q9NRE2,TSHZ2,0.62853575,0.789746077,0.439869928,,0.51176135
9222,Q9NRF2,SH2B1,0.43620473,0.351875222,0.57659393,,3.876159062
9223,Q9NRF8,CTPS2,0.7380779,0.527374746,0.632511518,,1.36289749
9224,Q9NRF9,POLE3,0.9706196,0.948827626,0.568404051,,5.662177094
9225,Q9NRG1,PRTFDC1,0.76704454,0.596863272,0.174466879,0.0,1.060861986
9226,Q9NRG4,SMYD2,0.5679818,0.327133506,0.282814392,0.0,1.954035035
9227,Q9NRG9,AAAS,0.9650815,0.882808452,0.999161864,1.0,3.66814175
9228,Q9NRH2,SNRK,0.68796283,0.611561192,0.422569262,,1.407881539
9229,Q9NRH3,TUBG2,0.9752212,0.998880007,0.979166283,1.0,3.420187346
9230,Q9NRI5,DISC1,0.16323191,0.158994078,0.52327813,,0.08401069
9231,Q9NRI7,PPY2P,0.58554274,0.723845447,0.0,0.0,0.0
9232,Q9NRJ2,GSN-AS1,0.15537718,0.140811604,0.073372581,0.0,1.042540925
9233,Q9NRJ4,TULP4,0.3528721,0.279837934,0.459711074,,0.994967808
9234,Q9NRJ5,PAPOLB,0.975522,0.995643708,0.974228856,1.0,0.0
9235,Q9NRJ7,PCDHB16,0.30269784,0.243362618,0.485968199,,0.718501282
9236,Q9NRK6,ABCB10,0.7164217,0.501788983,0.926571091,1.0,1.474637838
9237,Q9NRL2,BAZ1A,0.33476537,0.422300987,0.687473613,,2.364906957
9238,Q9NRL3,STRN4,0.97366726,0.999883348,0.918714827,1.0,4.291942389
9239,Q9NRM0,SLC2A9,0.9224655,0.94125176,0.149357903,0.0,0.119398605
9240,Q9NRM1,ENAM,0.19612193,0.239697219,0.451798479,,0.0
9241,Q9NRM7,LATS2,0.5043097,0.285307183,0.261452432,0.0,0.869789458
9242,Q9NRP7,STK36,0.91990376,0.94102939,0.585958838,,2.689110115
9243,Q9NRR1,CYTL1,0.20979446,0.264625759,0.106297266,0.0,0.066757898
9244,Q9NRR3,CDC42SE2,0.97429085,0.998967599,0.428566358,,1.571335766
9245,Q9NRR5,UBQLN4,0.97466224,0.99999998,0.99998715,1.0,3.464032819
9246,Q9NRR6,INPP5E,0.70911634,0.634973555,0.502109711,,3.960882016
9247,Q9NRV9,HEBP1,0.97652185,0.999995531,0.999997593,1.0,2.34088396
9248,Q9NRW1,RAB6B,0.9730525,0.999989268,0.999998493,1.0,0.081119887
9249,Q9NRW3,APOBEC3C,0.9748131,0.994517875,0.623149983,,3.19676105
9250,Q9NRW7,VPS45,0.158999,0.149333174,0.994775223,1.0,1.667035588
9251,Q9NRX2,MRPL17,0.96685255,0.928902869,0.922369331,1.0,5.487843279
9252,Q9NRX4,PHPT1,0.97105473,0.999928318,0.996915698,1.0,6.238931649
9253,Q9NRY2,INIP,0.5244309,0.492856089,0.713731156,1.0,2.072977485
9254,Q9NRY4,ARHGAP35,0.16817443,0.16989729,0.570621038,,2.633743795
9255,Q9NRY5,FAM114A2,0.96364725,0.986775353,0.991961675,1.0,1.336545832
9256,Q9NRZ9,HELLS,0.4828665,0.192113618,0.657352454,,2.343916846
9257,Q9NS18,GLRX2,0.57994497,0.300698722,0.13885172,0.0,2.30256777
9258,Q9NS28,RGS18,0.3593517,0.13864573,0.402251161,,0.314004088
9259,Q9NS37,CREBZF,0.3734617,0.267585821,0.491395266,,3.743163492
9260,Q9NS39,ADARB2,0.31012064,0.12981306,0.404773184,,0.003595875
9261,Q9NS40,KCNH7,0.35425055,0.372135638,0.391326659,,0.0
9262,Q9NS56,TOPORS,0.44433132,0.256092237,0.515309974,,2.88001443
