,accession,gene_symbol,pred_prob,raw_prob,soft_label,hard_label,mRNA
0,A0A024RBG1,NUDT4B,0.9528411,0.890031573,0.667430145,,0.0
1,A0A075B6H7,IGKV3-7,0.56853944,0.700122037,0.267382912,0.0,0.0
2,A0A075B6H8,IGKV1D-42,0.23307769,0.286946857,0.056265098,0.0,0.0
3,A0A075B6L6,TRBV7-3,0.97210306,0.943529498,0.140939875,0.0,0.0
4,A0A075B6N1,TRBV19,0.23486081,0.289679561,0.153118701,0.0,0.0
5,A0A075B6N2,TRBV20-1,0.21575429,0.259341054,0.128836068,0.0,0.370502274
6,A0A075B6N3,TRBV24-1,0.6724886,0.870094759,0.239506456,0.0,0.0
7,A0A075B6R0,TRGV2,0.15996756,0.151571308,0.208965854,0.0,0.0
8,A0A075B6S4,IGKV1D-17,0.32344463,0.408658519,0.127506317,0.0,0.0
9,A0A075B759,PPIAL4E,0.9770677,0.997723839,0.714242427,1.0,0.366824223
10,A0A087WSY6,IGKV3D-15,0.1546418,0.139051133,0.232826324,0.0,0.467725401
11,A0A087WUL8,NBPF19,0.49849108,0.319468323,0.797501271,1.0,1.01896704
12,A0A087WUV0,ZNF892,0.18766843,0.210057225,0.3738169,,0.0
13,A0A087X0M5,TRBV18,0.9732308,0.976280424,0.427089477,,0.0
14,A0A087X1C5,CYP2D7,0.20609838,0.243008813,0.369701941,,0.035708707
15,A0A096LP49,CCDC187,0.31763092,0.401560357,0.360036172,,0.178123745
16,A0A096LP55,UQCRHL,0.97290444,0.995859909,0.882628152,1.0,3.947078134
17,A0A096LPI5,CCDC28A-AS1,0.656978,0.839796267,0.071357682,0.0,0.11157557
18,A0A0A0MS06,TRBV23-1,0.3866181,0.482650631,0.173689016,0.0,0.0
19,A0A0A0MS15,IGHV3-49,0.9738662,0.996394895,0.031090959,0.0,0.0
20,A0A0A0MT36,IGKV6D-21,0.34541813,0.434949599,0.051026831,0.0,0.0
21,A0A0A6YYL3,POTEB,0.27115119,0.341796612,0.369213089,,0.0
22,A0A0B4J1V1,IGHV3-21,0.97397214,0.99988214,0.807303247,1.0,0.0
23,A0A0B4J1V2,IGHV2-26,0.46560097,0.572661433,0.58979017,,0.0
24,A0A0B4J1X5,IGHV3-74,0.9739618,0.999539304,0.780588128,1.0,0.0
25,A0A0B4J1X8,IGHV3-43,0.97397214,0.99988214,0.385758908,,0.0
26,A0A0B4J268,TRAV4,0.19049756,0.214882942,0.168548335,0.0,0.963535638
27,A0A0B4J2D5,GATD3B,0.9583065,0.999902136,0.999999118,1.0,0.0
28,A0A0C4DH24,IGKV6-21,0.34541813,0.434949599,0.20473024,0.0,0.0
29,A0A0C4DH31,IGHV1-18,0.9739083,0.99777642,0.473629343,,0.0
30,A0A0C4DH32,IGHV3-20,0.97397214,0.99988214,0.497283832,,0.0
31,A0A0C4DH33,IGHV1-24,0.21317486,0.255050349,0.100393005,0.0,0.0
32,A0A0C4DH38,IGHV5-51,0.97357744,0.987092491,0.344235428,,0.0
33,A0A0C4DH42,IGHV3-66,0.9739618,0.999539304,0.743498413,1.0,0.0
34,A0A0C4DH55,IGKV3D-7,0.56853944,0.700122037,0.412433554,,0.0
35,A0A0G2JMD5,PRAMEF33,0.16236165,0.157032981,0.325603546,,0.0
36,A0A0G2JMI3,IGHV1-69-2,0.2032969,0.238125672,0.184490396,0.0,0.0
37,A0A0J9YVY3,IGHV7-4-1,0.9739348,0.998650007,0.639134392,,0.0
38,A0A0J9YWL9,TEX13C,0.25074974,0.313259692,0.387541172,,0.061026714
39,A0A0J9YX94,PNMA6F,0.2474206,0.308427033,0.38277249,,0.0
40,A0A0J9YXV3,GREP1,0.15411153,0.137775194,0.283002203,0.0,0.047730143
41,A0A0J9YXX1,IGHV5-10-1,0.97357744,0.987092491,0.139876007,0.0,0.0
42,A0A0U1RQS6,TMEM275,0.15085797,0.129822534,0.0,0.0,0.0
43,A0A0U1RRI6,CENPVL3,0.20127861,0.234564587,0.347809706,,0.0
44,A0A1B0GTU1,ZC3H11B,0.1649864,0.162909355,0.638905296,,0.234410819
45,A0A1B0GTY4,TEX50,0.48611316,0.596584014,0.075757064,0.0,0.0
46,A0A1B0GU33,TEX53,0.1675408,0.168521108,0.0,0.0,0.0
47,A0A1B0GUA5,SMIM32,0.2981847,0.377280338,0.075488255,0.0,2.212727886
48,A0A1B0GUS4,UBE2L5,0.97395444,0.999294838,0.955327858,1.0,0.088496087
49,A0A1B0GUU1,C17orf113,0.18452772,0.203460222,0.364251367,,1.037414204
50,A0A1B0GUV1,C17orf114,0.9732517,0.97691861,0.411907159,,0.206870538
51,A0A1B0GUW6,SPEM3,0.16153435,0.15515688,0.371652753,,0.0
52,A0A1B0GV03,GOLGA6L7,0.20069206,0.233522722,0.264230445,0.0,0.179490561
53,A0A1B0GV85,REELD1,0.18849804,0.211101336,0.10433127,0.0,0.090512151
54,A0A1B0GV96,CHD9NB,0.68355674,0.893339798,0.411275763,,0.0
55,A0A1B0GVG6,TEX54,0.26144713,0.328440849,0.067082091,0.0,1.329650692
56,A0A1B0GVH4,PRSS51,0.23495807,0.289828128,0.321537775,,0.2595029
57,A0A1B0GVH6,C13orf42,0.19730532,0.22744405,0.293235873,0.0,0.0
58,A0A1B0GVH7,IQCM,0.20017865,0.232608139,0.199911379,0.0,0.0
59,A0A1B0GVM6,C11orf97,0.2789711,0.352302906,0.164811413,0.0,0.0336406
60,A0A1B0GVN3,C2orf92,0.4023135,0.500516618,0.493068747,,0.505607236
61,A0A1B0GVZ2,FAM240B,0.48362038,0.593651385,0.055130855,0.0,0.0
62,A0A1B0GW35,EXOC1L,0.16640781,0.166044764,0.308369963,,0.0
63,A0A1B0GXF2,TRBV7-2,0.62920505,0.790855031,0.131673645,0.0,0.0
64,A0A1W2PPH5,TAF11L13,0.17561026,0.185604443,0.491151256,,0.0
65,A0A1W2PPK0,CPHXL2,0.17035177,0.174579754,0.254470322,0.0,0.0
66,A0A1W2PPM1,CPHXL,0.21062714,0.250761867,0.312402499,,0.0
67,A0A1W2PPW3,TAF11L12,0.49309608,0.604841772,0.380405079,,0.0
68,A0A1W2PQ09,TAF11L11,0.16255178,0.157462583,0.339086235,,0.0
69,A0A1W2PQ72,MSANTD7,0.27296275,0.344249914,0.335913382,,0.0
70,A0A1W2PQL4,ZNF722,0.15255104,0.133987638,0.201412059,0.0,0.0
71,A0A1W2PR95,IGBP1C,0.49461424,0.606646067,0.562365182,,0.0
72,A0A1W2PRP0,FOXL3,0.9533832,0.941640077,0.159327993,0.0,0.0
73,A0A286YF18,SMIM44,0.33770236,0.425805261,0.116769352,0.0,2.149557725
74,A0A2R8Y2Y2,C8orf90,0.19648336,0.225952232,0.382628008,,0.0
75,A0A2R8Y4L2,HNRNPA1L3,0.9739758,1.0,0.999999999,1.0,0.586078242
76,A0A2R8Y619,H2BK1,0.97395205,0.99921822,0.947912992,1.0,0.0
77,A0A2R8YFL7,OOSP4A,0.27790326,0.350880887,0.0,0.0,0.0
78,A0A494C071,PWWP4,0.15973216,0.151028916,0.33464467,,0.0
79,A0A494C086,SPDYE21,0.16346231,0.159511115,0.188187506,0.0,0.17828111
80,A0A494C0N9,FAM246B,0.1730249,0.1802329,0.119751332,0.0,0.0
81,A0A494C0Y3,FAM246A,0.1730249,0.1802329,0.119751332,0.0,0.0
82,A0A494C0Z2,SPDYE13,0.16346231,0.159511115,0.323310147,,0.0
83,A0A494C191,SPDYE9,0.16346231,0.159511115,0.28081311,0.0,0.0
84,A0A494C1R9,TSPY9,0.67193377,0.868967513,0.396939032,,0.0
85,A0A539,TRBV4-2,0.47017318,0.577955886,0.233411705,0.0,0.0
86,A0A578,TRBV5-1,0.20798199,0.246254116,0.160135611,0.0,0.0
87,A0A590UK83,SMIM45,0.650338,0.827530368,0.072549405,0.0,0.739448837
88,A0A8I5KQE6,RPSA2,0.9739758,0.999999994,0.999999898,1.0,0.0
89,A0AUZ9,KANSL1L,0.411431,0.300655723,0.468787834,,0.643811516
90,A0AV02,SLC12A8,0.38150355,0.415272349,0.462394694,,1.122122452
91,A0AVF1,IFT56,0.544317,0.341491386,0.29590427,0.0,0.0
92,A0AVI2,FER1L5,0.1926639,0.218931652,0.398665142,,0.010765543
93,A0AVT1,UBA6,0.9719282,0.931703559,0.937812818,1.0,2.102028141
94,A0FGR8,ESYT2,0.97392684,0.998387226,0.999544867,1.0,3.285775368
95,A0FGR9,ESYT3,0.22794491,0.163350282,0.311028216,,0.048778543
96,A0JNW5,BLTP3B,0.62289697,0.425954924,0.724287314,1.0,0.0
97,A0JP26,POTEB3,0.62850827,0.325848535,0.360352616,,0.0
98,A0M8Q6,IGLC7,0.9739758,0.999999937,0.998985863,1.0,0.0
99,A0MZ66,SHTN1,0.96231186,0.920731988,0.920522123,1.0,1.268768093
100,A0PG75,PLSCR5,0.3608786,0.225877166,0.023904176,0.0,0.0
101,A0PJX0,CIB4,0.4592724,0.293795658,0.074474553,0.0,0.027570285
102,A1A4G5,LNP1,0.31624213,0.194701234,0.12707008,0.0,0.451675696
103,A1A4S6,ARHGAP10,0.6745025,0.287900694,0.533750659,,0.599028798
104,A1A4V9,CFAP119,0.65805125,0.599924553,0.320515746,,4.42327813
105,A1A519,FAM170A,0.56125015,0.690269521,0.469260931,,0.0
106,A1A5C7,SLC22A23,0.20903641,0.195557778,0.201560734,0.0,1.263929155
107,A1A5D9,BICDL2,0.2698122,0.1357891,0.47331697,,4.244305826
108,A1IGU5,ARHGEF37,0.44762376,0.13174899,0.24248126,0.0,0.331445465
109,A1KZ92,PXDNL,0.36838964,0.133376714,0.568237668,,0.0020577
110,A1L020,MEX3A,0.92038715,0.931496475,0.251805309,0.0,2.139826685
111,A1L162,ERICH2,0.32341453,0.339904004,0.088808665,0.0,0.070783543
112,A1L188,NDUFAF8,0.6527334,0.466244236,0.27541471,0.0,5.148127567
113,A1L390,PLEKHG3,0.500065,0.139025808,0.372308066,,3.659511108
114,A1L443,NUTM2F,0.4716131,0.297421148,0.338976328,,0.06240861
115,A1L453,PRSS38,0.23415135,0.199760844,0.195643869,0.0,0.0
116,A1L4H1,SSC5D,0.3392913,0.311403708,0.533492037,,0.691721315
117,A1L4K1,FSD2,0.22693451,0.162633379,0.220207064,0.0,0.013178789
118,A1X283,SH3PXD2B,0.52469724,0.260989343,0.39955977,,1.482006053
119,A1YPR0,ZBTB7C,0.24950261,0.198586879,0.402656551,,0.296419
120,A2A2Z9,ANKRD18B,0.30434245,0.136083936,0.661876393,,0.734966361
121,A2A3K4,PTPDC1,0.42384255,0.277250137,0.330942528,,0.754884613
122,A2A3L6,TTC24,0.75348115,0.60415282,0.248075169,0.0,0.489171931
123,A2A3N6,PIPSL,0.97396153,0.99953109,0.626228036,,0.790810463
124,A2AJT9,BCLAF3,0.63773036,0.805249482,0.493090321,,1.498561988
125,A2CJ06,DYTN,0.81612635,0.739982905,0.28485819,0.0,0.0
126,A2PYH4,HFM1,0.38852045,0.15108277,0.615254956,,0.00233156
127,A2RRH5,WDR27,0.29196277,0.130600682,0.517424433,,0.884483669
128,A2RRP1,NBAS,0.97312385,0.982063418,0.933720537,1.0,0.961308161
129,A2RTX5,TARS3,0.706649,0.469985848,0.610334331,,0.918018037
130,A2RTY3,HEATR9,0.6476895,0.856428332,0.547800923,,0.0
131,A2RU30,TESPA1,0.93650323,0.91677604,0.474794236,,0.22815887
132,A2RU48,SMCO3,0.52999,0.514578992,0.277709499,0.0,0.0
133,A2RU49,HYKK,0.24267009,0.301435333,0.295344316,0.0,0.98629466
134,A2RU54,HMX2,0.15655783,0.199137828,0.29978417,0.0,0.0
135,A2RUB1,MEIOC,0.327295,0.230546014,0.386600393,,0.103572404
136,A2RUC4,TYW5,0.35803145,0.204410176,0.246963042,0.0,1.812974048
137,A2RUH7,MYBPHL,0.29032892,0.245244167,0.314881936,,0.044906582
138,A2RUR9,CCDC144A,0.84099156,0.757981795,0.624610184,,0.003800007
139,A2RUS2,DENND3,0.3380965,0.426274465,0.704900924,1.0,2.841824918
140,A2RUT3,TMEM89,0.28120485,0.165873129,0.108615108,0.0,1.608676753
141,A2VCK2,DCDC2B,0.2775092,0.132763937,0.501405246,,0.354995757
142,A2VDJ0,TMEM131L,0.25375944,0.175045241,0.369113737,,0.756711745
143,A2VEC9,SSPOP,0.17342634,0.181073069,0.310488819,,0.475964081
144,A3KMH1,VWA8,0.57614785,0.331508802,0.586244162,,0.705752955
145,A3KN83,SBNO1,0.5915806,0.732547234,0.462616297,,2.852140457
146,A3QJZ6,PRAMEF22,0.20593862,0.242732109,0.367871386,,0.0
147,A4D0S4,LAMB4,0.24770075,0.190366105,0.410789464,,0.043140899
148,A4D0V7,CPED1,0.15726638,0.204553856,0.46449989,,0.206016738
149,A4D126,CRPPA,0.756878,0.65106292,0.079514653,0.0,0.103836859
150,A4D1B5,GSAP,0.44367883,0.22555409,0.21746272,0.0,1.884579355
151,A4D1E1,ZNF804B,0.2274253,0.161693847,0.479547515,,0.0
152,A4D1F6,LRRD1,0.3983979,0.207792205,0.437013586,,0.0
153,A4D1P6,WDR91,0.9662325,0.991749187,0.83980148,1.0,2.475319968
154,A4D1T9,PRSS37,0.16258135,0.130902303,0.167584033,0.0,0.0
155,A4D1U4,DENND11,0.2748607,0.164073987,0.435899048,,0.029179378
156,A4D256,CDC14C,0.18673868,0.207737485,0.159682126,0.0,0.768728841
157,A4D263,SPMIP7,0.40986845,0.546914441,0.44751322,,0.0
158,A4D2H0,CTAGE15,0.6192384,0.774637133,0.999923177,1.0,1.666219732
159,A4D2P6,GRID2IP,0.27202109,0.139331481,0.275491609,0.0,0.184799958
160,A4FU01,MTMR11,0.3593943,0.163680596,0.377864783,,4.683822792
161,A4FU28,CTAGE9,0.61761767,0.772057565,0.99990171,1.0,0.232014933
162,A4FU49,SH3D21,0.92653733,0.967556415,0.383799274,,2.964748675
163,A4FU69,EFCAB5,0.43955687,0.388239539,0.63522763,,0.094808793
164,A4GXA9,EME2,0.3924661,0.197698323,0.140480127,0.0,5.077221587
165,A4UGR9,XIRP2,0.53408045,0.356678165,0.372306246,,0.0
166,A5A3E0,POTEF,0.9739758,1.0,1.0,1.0,0.691441263
167,A5D8V7,ODAD3,0.508084,0.31044676,0.26856231,0.0,0.454993669
168,A5D8W1,CFAP69,0.41117766,0.551611554,0.461326364,,1.549931779
169,A5PKW4,PSD,0.24674055,0.307433284,0.40111804,,1.053063492
170,A5PL33,KRBA1,0.22403172,0.272782001,0.477034468,,0.702870095
171,A5PLK6,RGSL1,0.8939643,0.897509872,0.732524143,1.0,0.0
172,A5PLN7,FAM149A,0.67479527,0.594135154,0.467036505,,0.028059145
173,A5PLN9,TRAPPC13,0.70931375,0.555368403,0.245451431,0.0,1.790542101
174,A5YKK6,CNOT1,0.9749401,0.959240193,0.998220824,1.0,3.63287651
175,A5YM69,ARHGEF35,0.34263122,0.293734404,0.452583067,,1.496905814
176,A5YM72,CARNS1,0.40763476,0.131311368,0.350586571,,1.470436736
177,A6H8Y1,BDP1,0.61310285,0.3406455,0.688441387,,0.0
178,A6NC57,ANKRD62,0.2857062,0.138665589,0.337382571,,0.0
179,A6NC78,GOLGA8IP,0.15509978,0.140148752,0.373381455,,0.0
180,A6NC98,CCDC88B,0.96785575,0.992875683,0.811375932,1.0,3.043149019
181,A6NCI4,VWA3A,0.2562735,0.30195335,0.45164177,,0.065664723
182,A6NCM1,IQCA1L,0.54277384,0.24656271,0.393826857,,0.108859761
183,A6NCN2,KRT87P,0.341512,0.430330978,0.400253207,,0.040749358
184,A6NCQ9,RNF222,0.15917444,0.198095539,0.052625917,0.0,0.249387452
185,A6NCS6,C2orf72,0.3289495,0.393258918,0.297079141,0.0,3.076566291
186,A6NCW7,USP17L4,0.12514678,0.21438974,0.431608675,,0.0
187,A6ND36,FAM83G,0.5314939,0.417025099,0.335649651,,2.625979043
188,A6ND91,ASPDH,0.95181376,0.99572093,0.698849196,,0.282581563
189,A6NDB9,PALM3,0.31076133,0.154696735,0.524079918,,1.838736539
190,A6NDE4,RBMY1B,0.16733268,0.168067669,0.451330721,,0.0
191,A6NDG6,PGP,0.9744522,0.998478711,0.849096348,1.0,5.547722326
192,A6NDH6,OR5H15,0.18147504,0.197459775,0.164276589,0.0,0.0
193,A6NDK9,GOLGA6C,0.26482195,0.333127889,0.396689874,,0.043526173
194,A6NDN3,GOLGA6B,0.3153776,0.148105815,0.320449172,,0.0
195,A6NDY0,PABPN1L,0.50570285,0.130973151,0.375800392,,0.0
196,A6NDY2,FAM90A10,0.1549491,0.139788023,0.32390206,,0.0
197,A6NE01,FAM186A,0.31002122,0.131996447,0.283451435,0.0,0.004766812
198,A6NE52,WDR97,0.55490583,0.357284033,0.396774858,,1.640151484
199,A6NEC2,NPEPPSL1,0.9739532,0.999253566,0.999725817,1.0,0.0
200,A6NED2,RCCD1,0.4690641,0.262203367,0.454825606,,3.515690643
201,A6NEK1,ARRDC5,0.31107068,0.224477312,0.246836273,0.0,0.56297894
202,A6NEQ0,RBMY1E,0.16733268,0.168067669,0.411683526,,0.0
203,A6NES4,MROH2A,0.2100379,0.130039979,0.448316484,,0.104964285
204,A6NEV1,PRR23A,0.1327449,0.235988025,0.233755827,0.0,0.0
205,A6NF34,ANTXRL,0.95020175,0.998579737,0.285625196,0.0,0.007639037
206,A6NFA0,SPATA31F3,0.16997178,0.173767685,0.219855952,0.0,0.0
207,A6NFA1,TRABD2B,0.15162745,0.265672195,0.185084979,0.0,0.04850575
208,A6NFE2,SMCO2,0.5915559,0.690430446,0.257974742,0.0,0.10907998
209,A6NFF2,NAP1L6P,0.33959132,0.42805198,0.142398182,0.0,0.0
210,A6NFI3,ZNF316,0.2574737,0.177247828,0.2918196,0.0,3.912772501
211,A6NFN9,ANKUB1,0.23139681,0.284353476,0.362040586,,0.003240002
212,A6NFQ2,TCAF2,0.15088488,0.12988921,0.370178817,,0.557727786
213,A6NFQ7,DPRX,0.5143822,0.657406736,0.287962431,0.0,0.18332461
214,A6NFY4,NEMP2,0.30611312,0.222412377,0.337842094,,0.396810168
215,A6NGB0,TMEM191C,0.4096136,0.508802278,0.469634124,,1.34695258
216,A6NGB9,WIPF3,0.54336417,0.310585389,0.243651691,0.0,0.041703329
217,A6NGD5,ZSCAN5C,0.15089887,0.153163232,0.485833008,,0.0
218,A6NGE4,DCAF8L1,0.34629652,0.130219205,0.293907215,0.0,0.0
219,A6NGG8,PCARE,0.32631215,0.309724389,0.251688432,0.0,0.0
220,A6NGU5,GGT3P,0.36829633,0.461627553,0.52662516,,0.0
221,A6NGU7,LINC01546,0.5476589,0.672343909,0.078728622,0.0,0.0
222,A6NGW2,STRCP1,0.18998975,0.213926666,0.474037815,,0.118611166
223,A6NH11,GLTPD2,0.6091833,0.661920872,0.235815116,0.0,1.751040968
224,A6NH52,TVP23A,0.9497543,0.999492185,0.250247513,0.0,0.104738717
225,A6NHC0,CAPN8,0.38434106,0.246414004,0.660262942,,3.279651138
226,A6NHG4,DDTL,0.97386044,0.99999972,0.999998376,1.0,0.0
227,A6NHG9,OR5H14,0.18147504,0.197459775,0.118327652,0.0,0.0
228,A6NHL2,TUBAL3,0.97454494,0.999075958,0.999584724,1.0,0.0
229,A6NHN6,NPIPB15,0.4454032,0.150579979,0.139600315,0.0,3.587603478
230,A6NHQ2,FBLL1,0.97411555,0.989581841,0.589496017,,1.395498973
231,A6NHR9,SMCHD1,0.96937907,0.985847847,0.886498258,1.0,2.490062298
232,A6NHT5,HMX3,0.15035538,0.266532288,0.585017767,,0.0
233,A6NHY2,ANKDD1B,0.4562028,0.234756301,0.239929816,0.0,0.273434783
234,A6NI47,POTEM,0.456351,0.130050355,0.489199113,,0.0
235,A6NI56,CCDC154,0.2956335,0.210543658,0.318955538,,1.012444599
236,A6NI61,MYMK,0.3281346,0.383739799,0.034432322,0.0,0.0
237,A6NI72,NCF1B,0.9739639,0.999608809,0.711466342,1.0,1.635467531
238,A6NIE6,RRN3P2,0.35000268,0.440344055,0.386189837,,0.41054422
239,A6NIJ5,FAM90A20P,0.1549491,0.139788023,0.208494295,0.0,0.0
240,A6NIK2,LRRC10B,0.4018212,0.368771574,0.029840374,0.0,0.0
241,A6NIU2,LINC01549,0.9731241,0.973026287,0.104106227,0.0,0.0
242,A6NIZ1,RAP1BL,0.97397554,0.99999491,0.999993014,1.0,2.114504952
243,A6NJB7,PRR19,0.26732242,0.16058123,0.0296947,0.0,1.435782417
244,A6NJG2,SOWAHD,0.549099,0.335732108,0.112724399,0.0,2.255924964
245,A6NJI9,LRRC72,0.75400275,0.611293589,0.395142555,,0.0
246,A6NJJ6,C19orf67,0.5241643,0.550080929,0.263684043,0.0,0.212984268
247,A6NJL1,ZSCAN5B,0.29054508,0.407698803,0.75678071,1.0,0.040543029
248,A6NJQ4,FAM90A8,0.1549491,0.139788023,0.316390709,,0.0
249,A6NJR5,0,0.16346231,0.159511115,0.3548391,,0.0
250,A6NJZ3,OR6C65,0.2903862,0.129878416,0.027847859,0.0,0.0
251,A6NJZ7,RIMBP3C,0.20970614,0.193892159,0.40436594,,0.056418901
252,A6NK02,TRIM75,0.15275778,0.13449231,0.284723797,0.0,0.0
253,A6NK06,ACOD1,0.5549435,0.299967222,0.394268734,,0.032673213
254,A6NK58,LIPT2,0.51370823,0.266782186,0.024268946,0.0,2.554021044
255,A6NK59,ASB14,0.6218761,0.473120305,0.305176478,,0.053794644
256,A6NK89,RASSF10,0.25855133,0.249485435,0.146436473,0.0,3.758366221
257,A6NKB5,PCNX2,0.26885688,0.292462531,0.72535309,1.0,1.085983933
258,A6NKC0,FAM90A7,0.17701438,0.18848354,0.314951789,,0.0
259,A6NKD9,CCDC85C,0.62606543,0.62529282,0.429997224,,2.20864046
260,A6NKF2,ARID3C,0.56915027,0.359363254,0.254591073,0.0,0.379460373
261,A6NKG5,RTL1,0.22106256,0.268016169,0.180825562,0.0,0.0
262,A6NKH3,RPL37AP8,0.19643772,0.225869145,0.109796165,0.0,2.257749475
263,A6NKK0,OR5H1,0.18147504,0.197459775,0.079195582,0.0,0.0
264,A6NKP2,SDR42E2,0.355433,0.137712424,0.122742857,0.0,0.044279815
265,A6NKT7,RGPD3,0.93680894,0.753853295,0.911294887,1.0,0.06336678
266,A6NKU9,SPDYE3,0.1927587,0.159511115,0.342672066,,0.045366999
267,A6NL88,SHISA7,0.18507439,0.154470533,0.287652919,0.0,0.067006246
268,A6NLC8,TAF11L2,0.17561026,0.185604443,0.322625388,,0.0
269,A6NLU5,VSTM2B,0.18382755,0.217740697,0.304948889,,0.0
270,A6NM11,LRRC37A2,0.81174195,0.701849452,0.718132631,1.0,0.212739178
271,A6NM62,LRRC53,0.23284401,0.286587309,0.290328682,0.0,0.0
272,A6NM76,OR6C76,0.71033704,0.73989822,0.02618003,0.0,0.0
273,A6NMB9,FIGNL2,0.34459823,0.433981892,0.220640463,0.0,0.215191508
274,A6NMD2,GOLGA8J,0.27808794,0.140148752,0.545582575,,0.0
275,A6NMK7,CPSF4L,0.8820469,0.621955374,0.063630556,0.0,0.196989534
276,A6NMK8,INSYN2B,0.37506688,0.379410229,0.258047541,0.0,0.0
277,A6NMS7,LRRC37A,0.7267711,0.701849452,0.69728444,,0.218961095
278,A6NMT0,DBX1,0.12545282,0.139696288,0.198829259,0.0,0.0
279,A6NMU1,OR52A4P,0.15507953,0.140100335,0.02096129,0.0,0.0
280,A6NMX2,EIF4E1B,0.97390306,0.997602681,0.995698614,1.0,0.0
281,A6NMY6,ANXA2P2,0.9739758,1.0,1.0,1.0,3.811761811
282,A6NMZ7,COL6A6,0.4057558,0.245213529,0.528806554,,0.0
283,A6NN06,0,0.3532071,0.444098762,0.0,0.0,0.0
284,A6NN14,ZNF729,0.3316909,0.395742633,0.295397145,0.0,0.0
285,A6NN73,GOLGA8CP,0.20410618,0.239543365,0.351766192,,0.0
286,A6NN90,C2orf81,0.19228072,0.218219125,0.363162605,,1.181568239
287,A6NNH2,FAM90A27P,0.2220862,0.269666004,0.240515908,0.0,1.495166079
288,A6NNJ1,FAM90A9,0.19896588,0.230438058,0.251779502,0.0,0.0
289,A6NNL0,NUTM2B,0.28912824,0.141064233,0.296569708,0.0,0.084428402
290,A6NNM3,RIMBP3B,0.17551348,0.193892159,0.40436594,,0.0
291,A6NNM8,TTLL13,0.36249825,0.454919341,0.632633769,,0.576692929
292,A6NNS2,DHRS7C,0.29672346,0.138811291,0.296181418,0.0,0.0
293,A6NNV3,SPDYE16,0.16346231,0.159511115,0.386432707,,0.0
294,A6NNW6,ENO4,0.5465466,0.239836475,0.548257817,,0.0
295,A6NNY8,USP27X,0.55601794,0.28220894,0.279995859,0.0,3.344772941
296,A6NNZ2,TUBB8B,0.9739758,1.0,0.999999734,1.0,0.01269624
297,A6PVC2,TTLL8,0.22311804,0.217170216,0.23484745,0.0,0.0
298,A6PVI3,NCBP2L,0.22941527,0.281273997,0.132962934,0.0,0.0
299,A6PVS8,LRRIQ3,0.8304901,0.798934689,0.29480856,0.0,0.017429168
300,A6QL63,ABTB3,0.26475284,0.215778032,0.653576566,,0.059319578
301,A6QL64,ANKRD36,0.23406968,0.288469437,0.730531393,1.0,1.253974923
302,A7E2F4,GOLGA8A,0.3610644,0.201741264,0.27892421,0.0,2.234424494
303,A7E2V4,ZSWIM8,0.5435295,0.210609853,0.508120244,,3.984624894
304,A7E2Y1,MYH7B,0.32426617,0.409656255,0.537988521,,0.264645771
305,A7KAX9,ARHGAP32,0.968215,0.925604745,0.722616127,1.0,1.934828829
306,A7MBM2,DISP2,0.19342215,0.216844353,0.329249343,,1.692808382
307,A7MCY6,TBKBP1,0.38934183,0.248913,0.473196745,,2.762096933
308,A7MD48,SRRM4,0.33715534,0.188903653,0.130572141,0.0,0.0
309,A8CG34,POM121C,0.5223982,0.142203787,0.646035927,,3.294861265
310,A8K0R7,ZNF839,0.15710214,0.144900609,0.569491733,,2.354788833
311,A8K0Z3,WASHC1,0.9711798,0.924662984,0.768254374,1.0,1.537482504
312,A8K4G0,CD300LB,0.6425621,0.572209377,0.254037502,0.0,2.558615244
313,A8K5M9,C15orf62,0.3252265,0.219679149,0.211900192,0.0,3.631819807
314,A8K7I4,CLCA1,0.22984153,0.135315927,0.355388209,,0.173820135
315,A8K855,EFCAB7,0.45243,0.270205757,0.286970307,0.0,1.007586451
316,A8K8P3,SFI1,0.306558,0.144211482,0.329743087,,2.223720833
317,A8MPX8,PP2D1,0.39617026,0.149677371,0.298335185,0.0,0.0
318,A8MQ14,ZNF850,0.19036451,0.133438724,0.394088961,,1.034213761
319,A8MQB3,LINC02693,0.17123492,0.17645889,0.277421061,0.0,0.127235798
320,A8MQT2,GOLGA8B,0.35229045,0.201741264,0.284885869,0.0,2.532925785
321,A8MT19,RHPN2P1,0.159891,0.151394999,0.680783702,,0.0
322,A8MT66,0,0.16934513,0.1724238,0.062089159,0.0,0.0
323,A8MTI9,PRSS47P,0.21847677,0.263815719,0.296993205,0.0,0.0
324,A8MTJ3,GNAT3,0.9441404,0.999999463,0.999993348,1.0,0.0
325,A8MTL9,HMSD,0.55640906,0.472388093,0.290996138,0.0,0.06029173
326,A8MUP6,GSG1L2,0.18139237,0.197295632,0.055240502,0.0,0.0
327,A8MUU1,FABP5P3,0.97397536,0.999986808,0.856691475,1.0,0.460257053
328,A8MV23,SERPINE3,0.33519182,0.180808964,0.428319461,,0.0
329,A8MV24,SPMAP1,0.107908696,0.169282875,0.024826687,0.0,0.0
330,A8MV81,HIGD1C,0.7683375,0.663872209,0.613245428,,0.0
331,A8MVJ9,0,0.15904944,0.149450158,0.364614774,,0.0
332,A8MVM7,0,0.18363908,0.201724927,0.588046629,,0.0
333,A8MVU1,NCF1C,0.9739639,0.999608809,0.710789686,1.0,2.315149922
